Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Number of Heads,Number of Columns,Max Context Length,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
30,0,6,3.852,1.945,1.945,5,32,576,16,5.797,N/A,N/A,15.9,57498139.023997,8334717,1313280,7021437,10.1,0.433,1.11e-05,10.5,2.49,3.17,1.39e-05,5.66,8361728,8535745,1355608,1529625,8334717,57498139.023997,0,0,0,3217
30,1,6,3.924,1.87,1.87,7,20,960,16,5.7940000000000005,N/A,N/A,17.6,71462804.745595,10210367,1700160,8510207,12.6,0.4,1.42e-05,13.0,2.16,2.73,1.45e-05,4.89,10234056,10386557,1737568,1890069,10210367,71462804.745595,0,0,0,3724
31,0,6,3.676,2.131,2.131,1,3,288,32,5.807,N/A,N/A,0.476,1856111.408,263347,44121,219226,0.335,0.0128,3.67e-07,0.348,0.0569,0.0711,4.31e-07,0.128,263778,269515,45310,51047,263347,1856111.408,0,0,0,131
32,0,6,3.824,1.975,1.975,4,16,896,16,5.7989999999999995,N/A,N/A,7.61,28195331.558397,4050804,662528,3388276,5.05,0.213,5.53e-06,5.27,1.05,1.35,6.16e-06,2.41,4061512,4131475,679464,749427,4050804,28195331.558397,0,0,0,1679
33,0,6,3.995,1.795,1.795,11,4,544,16,5.79,N/A,N/A,12.3,60516400.025559,8442724,1531200,6911524,10.5,0.0969,1.25e-05,10.6,0.687,1.08,9.55e-06,1.76,8449945,8498698,1543012,1591765,8442724,60516400.025559,0,0,0,1834
34,0,6,4.249,1.527,1.527,7,1,928,16,5.776,N/A,N/A,6.16,31057041.164778,4168570,803600,3364970,5.45,0.0166,6.51e-06,5.46,0.229,0.489,3.88e-06,0.718,4169573,4177823,805429,813679,4168570,31057041.164778,0,0,0,1358
34,1,6,3.986,1.804,1.804,4,1,224,64,5.79,N/A,N/A,1.75,6571337.433596,920564,161452,759112,1.21,0.0448,1.33e-06,1.26,0.222,0.27,1.44e-06,0.492,920859,935004,164159,178304,920564,6571337.433596,0,0,0,488
35,0,6,3.845,1.953,1.953,8,2,896,32,5.798,N/A,N/A,8.9,44060194.720031,6080506,1128240,4952266,7.75,0.0678,9.2e-06,7.82,0.431,0.703,6.95e-06,1.13,6082920,6112991,1134856,1164927,6080506,44060194.720031,0,0,0,1562
36,0,6,4.126,1.656,1.656,16,4,960,16,5.782,N/A,N/A,40.7,199341017.590458,26972996,5151744,21821252,37.3,0.123,3.93e-05,37.4,1.24,2.39,2.84e-05,3.63,26983512,27054483,5169064,5240035,26972996,199341017.590458,0,0,0,5055
37,0,6,3.973,1.818,1.818,5,8,768,32,5.791,N/A,N/A,8.31,34251916.553593,4819033,834040,3984993,6.23,0.217,6.92e-06,6.45,0.874,1.08,7.46e-06,1.95,4825884,4898861,850784,923761,4819033,34251916.553593,0,0,0,1850
38,0,6,3.704,2.101,2.101,2,3,96,16,5.805,N/A,N/A,0.659,2041568.0256,294745,46752,247993,0.363,0.0167,3.92e-07,0.379,0.121,0.159,4.94e-07,0.28,295706,302461,48314,55069,294745,2041568.0256,0,0,0,131
38,1,6,4.023,1.765,1.765,13,4,480,128,5.787999999999999,N/A,N/A,40.0,161435480.675117,22624372,3981224,18643148,30.7,1.13,3.15e-05,31.8,4.56,5.3,3.1e-05,9.86,22633919,22958176,4051212,4375469,22624372,161435480.675117,0,0,0,8953
